"setpoint_db","freq_hz:measured_gain_db"
-81.000000,1809887695.312500:-45.212059;1819885253.906250:-42.834317;1829882812.500000:-40.018512;1839880371.093750:-36.909789;1849877929.687500:-33.662998;1859875488.281250:-30.457905;1869873046.875000:-27.421777;1879870605.468750:-24.678850;1889868164.062500:-22.336978;1899865722.656250:-20.465781;1909863281.250000:-19.076729;1919860839.843750:-18.125215;1929858398.437500:-17.538618;1939855957.031250:-17.244037;1949853515.625000:-17.166814;1959851074.218750:-17.213196;1969848632.812500:-17.282268;1979846191.406250:-17.308406;1989843750.000000:-17.291521;1999841308.593750:-17.284090;2009838867.187500:-17.346699;2019836425.781250:-17.500302;2029833984.375000:-17.707100;2039831542.968750:-17.894961;2049829101.562500:-18.006329;2059826660.156250:-18.030753;2069824218.750000:-17.998309;2079821777.343750:-17.946279;2089819335.937500:-17.891790;2099816894.531250:-17.826837;2109814453.125000:-17.738450;2119812011.718750:-17.628903;2129809570.312500:-17.517555;2139807128.906250:-17.432032;2149804687.500000:-17.400341;2159802246.093750:-17.439404;2169799804.687500:-17.539418;2179797363.281250:-17.657628;2189794921.875000:-17.740094;2199792480.468750:-17.754721;2209790039.062500:-17.688275;2219787597.656250:-17.538732;2229785156.250000:-17.330944;2239782714.843750:-17.117397;2249780273.437500:-16.942913;2259777832.031250:-16.825324;2269775390.625000:-16.765791;2279772949.218750:-16.755044;2289770507.812500:-16.775923;2299768066.406250:-16.818401;2309765625.000000:-16.878584;2319763183.593750:-16.953707;2329760742.187500:-17.043268;2339758300.781250:-17.146285;2349755859.375000:-17.244494;2359753417.968750:-17.300500;2369750976.562500:-17.289036;2379748535.156250:-17.237359;2389746093.750000:-17.221731;2399743652.343750:-17.316046;2409741210.937500:-17.544281;2419738769.531250:-17.875784;2429736328.125000:-18.246810;2439733886.718750:-18.593218;2449731445.312500:-18.891919;2459729003.906250:-19.187720;2469726562.500000:-19.560632;2479724121.093750:-20.049882;2489721679.687500:-20.600599;2499719238.281250:-21.080630;2509716796.875000:-21.365529;2519714355.468750:-21.439030;2529711914.062500:-21.423604;2539709472.656250:-21.506060;2549707031.250000:-21.826033;2559704589.843750:-22.407525;2569702148.437500:-23.153439;2579699707.031250:-23.889826;2589697265.625000:-24.461487;2599694824.218750:-24.841435;2609692382.812500:-25.168716
-78.000000,1809887695.312500:-42.165468;1819885253.906250:-39.950824;1829882812.500000:-37.176896;1839880371.093750:-34.061781;1849877929.687500:-30.792563;1859875488.281250:-27.576606;1869873046.875000:-24.528295;1879870605.468750:-21.764341;1889868164.062500:-19.394300;1899865722.656250:-17.496778;1909863281.250000:-16.092247;1919860839.843750:-15.138928;1929858398.437500:-14.559351;1939855957.031250:-14.270982;1949853515.625000:-14.190637;1959851074.218750:-14.222076;1969848632.812500:-14.269866;1979846191.406250:-14.277112;1989843750.000000:-14.249120;1999841308.593750:-14.237495;2009838867.187500:-14.297974;2019836425.781250:-14.449023;2029833984.375000:-14.655680;2039831542.968750:-14.851295;2049829101.562500:-14.981885;2059826660.156250:-15.034925;2069824218.750000:-15.033047;2079821777.343750:-15.003833;2089819335.937500:-14.958171;2099816894.531250:-14.889336;2109814453.125000:-14.789600;2119812011.718750:-14.665790;2129809570.312500:-14.540165;2139807128.906250:-14.441516;2149804687.500000:-14.396027;2159802246.093750:-14.416215;2169799804.687500:-14.491165;2179797363.281250:-14.585483;2189794921.875000:-14.656728;2199792480.468750:-14.678841;2209790039.062500:-14.634549;2219787597.656250:-14.513722;2229785156.250000:-14.336376;2239782714.843750:-14.157795;2249780273.437500:-14.030365;2259777832.031250:-13.972284;2269775390.625000:-13.972605;2279772949.218750:-14.005755;2289770507.812500:-14.043309;2299768066.406250:-14.071673;2309765625.000000:-14.091902;2319763183.593750:-14.116165;2329760742.187500:-14.162780;2339758300.781250:-14.245962;2349755859.375000:-14.354679;2359753417.968750:-14.447932;2369750976.562500:-14.487472;2379748535.156250:-14.482180;2389746093.750000:-14.491887;2399743652.343750:-14.584831;2409741210.937500:-14.794643;2419738769.531250:-15.109933;2429736328.125000:-15.481781;2439733886.718750:-15.847000;2449731445.312500:-16.168382;2459729003.906250:-16.466951;2469726562.500000:-16.804500;2479724121.093750:-17.222625;2489721679.687500:-17.691901;2499719238.281250:-18.114506;2509716796.875000:-18.387809;2519714355.468750:-18.492025;2529711914.062500:-18.526633;2539709472.656250:-18.656293;2549707031.250000:-19.011402;2559704589.843750:-19.614515;2569702148.437500:-20.369694;2579699707.031250:-21.111170;2589697265.625000:-21.701153;2599694824.218750:-22.127681;2609692382.812500:-22.529324
-75.000000,1809887695.312500:-40.177602;1819885253.906250:-37.246736;1829882812.500000:-34.120943;1839880371.093750:-30.845146;1849877929.687500:-27.509300;1859875488.281250:-24.225688;1869873046.875000:-21.115038;1879870605.468750:-18.305236;1889868164.062500:-15.915901;1899865722.656250:-14.025663;1909863281.250000:-12.644509;1919860839.843750:-11.717423;1929858398.437500:-11.159840;1939855957.031250:-10.888680;1949853515.625000:-10.822307;1959851074.218750:-10.865059;1969848632.812500:-10.920931;1979846191.406250:-10.934610;1989843750.000000:-10.914780;1999841308.593750:-10.915407;2009838867.187500:-10.992718;2019836425.781250:-11.163830;2029833984.375000:-11.392212;2039831542.968750:-11.610028;2049829101.562500:-11.762081;2059826660.156250:-11.834412;2069824218.750000:-11.849036;2079821777.343750:-11.836348;2089819335.937500:-11.812786;2099816894.531250:-11.776689;2109814453.125000:-11.721006;2119812011.718750:-11.645845;2129809570.312500:-11.562649;2139807128.906250:-11.492098;2149804687.500000:-11.460189;2159802246.093750:-11.486292;2169799804.687500:-11.567192;2179797363.281250:-11.672418;2189794921.875000:-11.760175;2199792480.468750:-11.801728;2209790039.062500:-11.776985;2219787597.656250:-11.673782;2229785156.250000:-11.512966;2239782714.843750:-11.356172;2249780273.437500:-11.263604;2259777832.031250:-11.252083;2269775390.625000:-11.298666;2279772949.218750:-11.367649;2289770507.812500:-11.428020;2299768066.406250:-11.465808;2309765625.000000:-11.480653;2319763183.593750:-11.485284;2329760742.187500:-11.504158;2339758300.781250:-11.560425;2349755859.375000:-11.650604;2359753417.968750:-11.737449;2369750976.562500:-11.779861;2379748535.156250:-11.776933;2389746093.750000:-11.778121;2399743652.343750:-11.850153;2409741210.937500:-12.033563;2419738769.531250:-12.323530;2429736328.125000:-12.674566;2439733886.718750:-13.026079;2449731445.312500:-13.340825;2459729003.906250:-13.630919;2469726562.500000:-13.940709;2479724121.093750:-14.299087;2489721679.687500:-14.682864;2499719238.281250:-15.020825;2509716796.875000:-15.240738;2519714355.468750:-15.334088;2529711914.062500:-15.386272;2539709472.656250:-15.538702;2549707031.250000:-15.908991;2559704589.843750:-16.519735;2569702148.437500:-17.278543;2579699707.031250:-18.024010;2589697265.625000:-18.623659;2599694824.218750:-19.069124;2609692382.812500:-19.500651
-72.000000,1809887695.312500:-36.866941;1819885253.906250:-34.173416;1829882812.500000:-31.137551;1839880371.093750:-27.880029;1849877929.687500:-24.531859;1859875488.281250:-21.245921;1869873046.875000:-18.140370;1879870605.468750:-15.339841;1889868164.062500:-12.958168;1899865722.656250:-11.067914;1909863281.250000:-9.678383;1919860839.843750:-8.740334;1929858398.437500:-8.174450;1939855957.031250:-7.897936;1949853515.625000:-7.826351;1959851074.218750:-7.861966;1969848632.812500:-7.910144;1979846191.406250:-7.917724;1989843750.000000:-7.893559;1999841308.593750:-7.889938;2009838867.187500:-7.961105;2019836425.781250:-8.123349;2029833984.375000:-8.341030;2039831542.968750:-8.549757;2049829101.562500:-8.699376;2059826660.156250:-8.780461;2069824218.750000:-8.816466;2079821777.343750:-8.833610;2089819335.937500:-8.839680;2099816894.531250:-8.822861;2109814453.125000:-8.769481;2119812011.718750:-8.681326;2129809570.312500:-8.577465;2139807128.906250:-8.485199;2149804687.500000:-8.432060;2159802246.093750:-8.437118;2169799804.687500:-8.500356;2179797363.281250:-8.599002;2189794921.875000:-8.697361;2199792480.468750:-8.763232;2209790039.062500:-8.765126;2219787597.656250:-8.682356;2229785156.250000:-8.537731;2239782714.843750:-8.403023;2249780273.437500:-8.343637;2259777832.031250:-8.368181;2269775390.625000:-8.440727;2279772949.218750:-8.520413;2289770507.812500:-8.577638;2299768066.406250:-8.599851;2309765625.000000:-8.592332;2319763183.593750:-8.580944;2329760742.187500:-8.600641;2339758300.781250:-8.672742;2349755859.375000:-8.784544;2359753417.968750:-8.891729;2369750976.562500:-8.951406;2379748535.156250:-8.961750;2389746093.750000:-8.970127;2399743652.343750:-9.041526;2409741210.937500:-9.218170;2419738769.531250:-9.501342;2429736328.125000:-9.854806;2439733886.718750:-10.225315;2449731445.312500:-10.573726;2459729003.906250:-10.898536;2469726562.500000:-11.228305;2479724121.093750:-11.585304;2489721679.687500:-11.952364;2499719238.281250:-12.271579;2509716796.875000:-12.481717;2519714355.468750:-12.576498;2529711914.062500:-12.635146;2539709472.656250:-12.791961;2549707031.250000:-13.161899;2559704589.843750:-13.770028;2569702148.437500:-14.528049;2579699707.031250:-15.276003;2589697265.625000:-15.879038;2599694824.218750:-16.326700;2609692382.812500:-16.762317
-69.000000,1809887695.312500:-32.847986;1819885253.906250:-30.966629;1829882812.500000:-28.365140;1839880371.093750:-25.320479;1849877929.687500:-22.060293;1859875488.281250:-18.840311;1869873046.875000:-15.792463;1879870605.468750:-13.044062;1889868164.062500:-10.700711;1899865722.656250:-8.829573;1909863281.250000:-7.444895;1919860839.843750:-6.509241;1929858398.437500:-5.953344;1939855957.031250:-5.698216;1949853515.625000:-5.657326;1959851074.218750:-5.727683;1969848632.812500:-5.808474;1979846191.406250:-5.842565;1989843750.000000:-5.839711;1999841308.593750:-5.855668;2009838867.187500:-5.945607;2019836425.781250:-6.123765;2029833984.375000:-6.351744;2039831542.968750:-6.563314;2049829101.562500:-6.708728;2059826660.156250:-6.784014;2069824218.750000:-6.823183;2079821777.343750:-6.862186;2089819335.937500:-6.910899;2099816894.531250:-6.949158;2109814453.125000:-6.947699;2119812011.718750:-6.892851;2129809570.312500:-6.796247;2139807128.906250:-6.690010;2149804687.500000:-6.616012;2159802246.093750:-6.609044;2169799804.687500:-6.679230;2179797363.281250:-6.801591;2189794921.875000:-6.932689;2199792480.468750:-7.041767;2209790039.062500:-7.108977;2219787597.656250:-7.119491;2229785156.250000:-7.081595;2239782714.843750:-7.031876;2249780273.437500:-7.001472;2259777832.031250:-6.996476;2269775390.625000:-7.011082;2279772949.218750:-7.033156;2289770507.812500:-7.043400;2299768066.406250:-7.032437;2309765625.000000:-7.006448;2319763183.593750:-6.986442;2329760742.187500:-7.006165;2339758300.781250:-7.098234;2349755859.375000:-7.259639;2359753417.968750:-7.436181;2369750976.562500:-7.554852;2379748535.156250:-7.585032;2389746093.750000:-7.568817;2399743652.343750:-7.590001;2409741210.937500:-7.714134;2419738769.531250:-7.958854;2429736328.125000:-8.302376;2439733886.718750:-8.704302;2449731445.312500:-9.123789;2459729003.906250:-9.539756;2469726562.500000:-9.954460;2479724121.093750:-10.371280;2489721679.687500:-10.767601;2499719238.281250:-11.091633;2509716796.875000:-11.290948;2519714355.468750:-11.361216;2529711914.062500:-11.378856;2539709472.656250:-11.482920;2549707031.250000:-11.803222;2559704589.843750:-12.374863;2569702148.437500:-13.105629;2579699707.031250:-13.827685;2589697265.625000:-14.409407;2599694824.218750:-14.850155;2609692382.812500:-15.291736
-66.000000,1809887695.312500:-31.594797;1819885253.906250:-28.740211;1829882812.500000:-25.664906;1839880371.093750:-22.424762;1849877929.687500:-19.122258;1859875488.281250:-15.878745;1869873046.875000:-12.814720;1879870605.468750:-10.046511;1889868164.062500:-7.677105;1899865722.656250:-5.779853;1909863281.250000:-4.377608;1919860839.843750:-3.435724;1929858398.437500:-2.880607;1939855957.031250:-2.624931;1949853515.625000:-2.575151;1959851074.218750:-2.627168;1969848632.812500:-2.685180;1979846191.406250:-2.699305;1989843750.000000:-2.683558;1999841308.593750:-2.693161;2009838867.187500:-2.780259;2019836425.781250:-2.957052;2029833984.375000:-3.187043;2039831542.968750:-3.408237;2049829101.562500:-3.573599;2059826660.156250:-3.676543;2069824218.750000:-3.742454;2079821777.343750:-3.797962;2089819335.937500:-3.848580;2099816894.531250:-3.876890;2109814453.125000:-3.859973;2119812011.718750:-3.789550;2129809570.312500:-3.681280;2139807128.906250:-3.569390;2149804687.500000:-3.493511;2159802246.093750:-3.481399;2169799804.687500:-3.536688;2179797363.281250:-3.638041;2189794921.875000:-3.752873;2199792480.468750:-3.856490;2209790039.062500:-3.924944;2219787597.656250:-3.936500;2229785156.250000:-3.897432;2239782714.843750:-3.848556;2249780273.437500:-3.831341;2259777832.031250:-3.859995;2269775390.625000:-3.922733;2279772949.218750:-3.990960;2289770507.812500:-4.032154;2299768066.406250:-4.034957;2309765625.000000:-4.011726;2319763183.593750:-3.991630;2329760742.187500:-4.013321;2339758300.781250:-4.109766;2349755859.375000:-4.276909;2359753417.968750:-4.460808;2369750976.562500:-4.592776;2379748535.156250:-4.648044;2389746093.750000:-4.666039;2399743652.343750:-4.716620;2409741210.937500:-4.851940;2419738769.531250:-5.088557;2429736328.125000:-5.414187;2439733886.718750:-5.799007;2449731445.312500:-6.207728;2459729003.906250:-6.618706;2469726562.500000:-7.030169;2479724121.093750:-7.441532;2489721679.687500:-7.828522;2499719238.281250:-8.140735;2509716796.875000:-8.329732;2519714355.468750:-8.395358;2529711914.062500:-8.415376;2539709472.656250:-8.525741;2549707031.250000:-8.852125;2559704589.843750:-9.427095;2569702148.437500:-10.157321;2579699707.031250:-10.876366;2589697265.625000:-11.458908;2599694824.218750:-11.914090;2609692382.812500:-12.389934
-63.000000,1809887695.312500:-28.587792;1819885253.906250:-25.657554;1829882812.500000:-22.518329;1839880371.093750:-19.218143;1849877929.687500:-15.854493;1859875488.281250:-12.548174;1869873046.875000:-9.426622;1879870605.468750:-6.617239;1889868164.062500:-4.232789;1899865722.656250:-2.346188;1909863281.250000:-0.969490;1919860839.843750:-0.055319;1929858398.437500:0.476958;1939855957.031250:0.715794;1949853515.625000:0.754183;1959851074.218750:0.695969;1969848632.812500:0.635879;1979846191.406250:0.621135;1989843750.000000:0.635002;1999841308.593750:0.621391;2009838867.187500:0.528097;2019836425.781250:0.342371;2029833984.375000:0.100193;2039831542.968750:-0.135575;2049829101.562500:-0.314669;2059826660.156250:-0.426074;2069824218.750000:-0.492907;2079821777.343750:-0.543524;2089819335.937500:-0.589616;2099816894.531250:-0.622915;2109814453.125000:-0.627666;2119812011.718750:-0.595089;2129809570.312500:-0.532635;2139807128.906250:-0.464961;2149804687.500000:-0.425752;2159802246.093750:-0.440710;2169799804.687500:-0.512411;2179797363.281250:-0.617856;2189794921.875000:-0.724007;2199792480.468750:-0.808798;2209790039.062500:-0.854114;2219787597.656250:-0.845006;2229785156.250000:-0.793713;2239782714.843750:-0.748690;2249780273.437500:-0.758264;2259777832.031250:-0.834486;2269775390.625000:-0.953129;2279772949.218750:-1.072588;2289770507.812500:-1.153030;2299768066.406250:-1.177739;2309765625.000000:-1.154979;2319763183.593750:-1.115168;2329760742.187500:-1.103432;2339758300.781250:-1.162043;2349755859.375000:-1.297298;2359753417.968750:-1.464647;2369750976.562500:-1.598813;2379748535.156250:-1.667886;2389746093.750000:-1.697361;2399743652.343750:-1.746879;2409741210.937500:-1.870345;2419738769.531250:-2.091889;2429736328.125000:-2.400048;2439733886.718750:-2.759121;2449731445.312500:-3.129858;2459729003.906250:-3.491466;2469726562.500000:-3.844724;2479724121.093750:-4.193496;2489721679.687500:-4.523064;2499719238.281250:-4.795482;2509716796.875000:-4.972634;2519714355.468750:-5.055886;2529711914.062500:-5.112454;2539709472.656250:-5.261026;2549707031.250000:-5.613028;2559704589.843750:-6.197569;2569702148.437500:-6.927918;2579699707.031250:-7.648207;2589697265.625000:-8.240328;2599694824.218750:-8.712263;2609692382.812500:-9.207313
-60.000000,1809887695.312500:-25.688705;1819885253.906250:-22.703384;1829882812.500000:-19.521184;1839880371.093750:-16.191434;1849877929.687500:-12.812044;1859875488.281250:-9.501912;1869873046.875000:-6.385778;1879870605.468750:-3.587801;1889868164.062500:-1.214697;1899865722.656250:0.668163;1909863281.250000:2.051499;1919860839.843750:2.978008;1929858398.437500:3.522471;1939855957.031250:3.771885;1949853515.625000:3.820068;1959851074.218750:3.771035;1969848632.812500:3.718344;1979846191.406250:3.708575;1989843750.000000:3.726439;1999841308.593750:3.717851;2009838867.187500:3.631595;2019836425.781250:3.455164;2029833984.375000:3.224431;2039831542.968750:3.000527;2049829101.562500:2.828728;2059826660.156250:2.714094;2069824218.750000:2.630895;2079821777.343750:2.554280;2089819335.937500:2.481520;2099816894.531250:2.430845;2109814453.125000:2.423196;2119812011.718750:2.464657;2129809570.312500:2.541231;2139807128.906250:2.624926;2149804687.500000:2.681724;2159802246.093750:2.683789;2169799804.687500:2.622889;2179797363.281250:2.515701;2189794921.875000:2.393993;2199792480.468750:2.286425;2209790039.062500:2.222073;2219787597.656250:2.223348;2229785156.250000:2.275003;2239782714.843750:2.316848;2249780273.437500:2.292019;2259777832.031250:2.193076;2269775390.625000:2.054597;2279772949.218750:1.921312;2289770507.812500:1.831119;2299768066.406250:1.801311;2309765625.000000:1.824533;2319763183.593750:1.866285;2329760742.187500:1.875991;2339758300.781250:1.812770;2349755859.375000:1.675556;2359753417.968750:1.510513;2369750976.562500:1.380194;2379748535.156250:1.314083;2389746093.750000:1.285144;2399743652.343750:1.230480;2409741210.937500:1.094482;2419738769.531250:0.855916;2429736328.125000:0.531484;2439733886.718750:0.160821;2449731445.312500:-0.217396;2459729003.906250:-0.585292;2469726562.500000:-0.944987;2479724121.093750:-1.297983;2489721679.687500:-1.625629;2499719238.281250:-1.889800;2509716796.875000:-2.056148;2519714355.468750:-2.131559;2529711914.062500:-2.186665;2539709472.656250:-2.340333;2549707031.250000:-2.703929;2559704589.843750:-3.306372;2569702148.437500:-4.058020;2579699707.031250:-4.795758;2589697265.625000:-5.392277;2599694824.218750:-5.852976;2609692382.812500:-6.329782
-57.000000,1809887695.312500:-21.308017;1819885253.906250:-19.129525;1829882812.500000:-16.380959;1839880371.093750:-13.268319;1849877929.687500:-9.986125;1859875488.281250:-6.751636;1869873046.875000:-3.693764;1879870605.468750:-0.935645;1889868164.062500:1.418415;1899865722.656250:3.298495;1909863281.250000:4.685903;1919860839.843750:5.615651;1929858398.437500:6.158037;1939855957.031250:6.396335;1949853515.625000:6.422542;1959851074.218750:6.343350;1969848632.812500:6.259941;1979846191.406250:6.226161;1989843750.000000:6.227996;1999841308.593750:6.206936;2009838867.187500:6.107807;2019836425.781250:5.918563;2029833984.375000:5.679235;2039831542.968750:5.456081;2049829101.562500:5.297109;2059826660.156250:5.203233;2069824218.750000:5.137462;2079821777.343750:5.062241;2089819335.937500:4.968560;2099816894.531250:4.879221;2109814453.125000:4.828300;2119812011.718750:4.836082;2129809570.312500:4.896763;2139807128.906250:4.981092;2149804687.500000:5.045722;2159802246.093750:5.050983;2169799804.687500:4.980817;2179797363.281250:4.854605;2189794921.875000:4.711363;2199792480.468750:4.578712;2209790039.062500:4.475499;2219787597.656250:4.416810;2229785156.250000:4.394697;2239782714.843750:4.374549;2249780273.437500:4.330278;2259777832.031250:4.262454;2269775390.625000:4.182093;2279772949.218750:4.105184;2289770507.812500:4.056137;2299768066.406250:4.049099;2309765625.000000:4.078760;2319763183.593750:4.119847;2329760742.187500:4.129338;2339758300.781250:4.061551;2349755859.375000:3.905500;2359753417.968750:3.707835;2369750976.562500:3.548251;2379748535.156250:3.477716;2389746093.750000:3.475653;2399743652.343750:3.466352;2409741210.937500:3.377199;2419738769.531250:3.176297;2429736328.125000:2.868604;2439733886.718750:2.478659;2449731445.312500:2.040983;2459729003.906250:1.588737;2469726562.500000:1.145956;2479724121.093750:0.732728;2489721679.687500:0.376474;2499719238.281250:0.111651;2509716796.875000:-0.036068;2519714355.468750:-0.078740;2529711914.062500:-0.088727;2539709472.656250:-0.191416;2549707031.250000:-0.508943;2559704589.843750:-1.075303;2569702148.437500:-1.796013;2579699707.031250:-2.499657;2589697265.625000:-3.056815;2599694824.218750:-3.477174;2609692382.812500:-3.913940
